i_connect_no,i_site_code,i_unit_num,i_giku_num,c_tag_no,c_tag_desc,c_category1,c_category2,c_category3,d_disp_range_lower,d_disp_range_upper,c_unit,i_decimal_place,i_signal_type,c_unit2,d_cnv1,d_cnv2,i_cdbi,c_point_id,c_retu text,i_off_set,i_kind_num,i_auto_flag,d_dead_band,i_xid bigint
1,1,2,0,SB_SPARE_3911,SPARE_3911,,0,,0,1,,0,1,,1,1,3911,SB_010200010000003911,data10,0,1,1,0,3911
1,1,2,0,SB_SPARE_3912,SPARE_3912,,0,,0,1,,0,1,,1,1,3912,SB_010200010000003912,data11,0,1,1,0,3912
1,1,2,0,SB_SPARE_3913,SPARE_3913,,0,,0,1,,0,1,,1,1,3913,SB_010200010000003913,data12,0,1,1,0,3913
1,1,2,0,SB_SPARE_3914,SPARE_3914,,0,,0,1,,0,1,,1,1,3914,SB_010200010000003914,data13,0,1,1,0,3914
1,1,2,0,SB_SPARE_3915,SPARE_3915,,0,,0,1,,0,1,,1,1,3915,SB_010200010000003915,data14,0,1,1,0,3915
1,1,2,0,SB_SPARE_3916,SPARE_3916,,0,,0,1,,0,1,,1,1,3916,SB_010200010000003916,data15,0,1,1,0,3916
1,1,2,0,SB_SPARE_3917,SPARE_3917,,0,,0,1,,0,1,,1,1,3917,SB_010200010000003917,data16,0,1,1,0,3917
1,1,2,0,SB_SPARE_3918,SPARE_3918,,0,,0,1,,0,1,,1,1,3918,SB_010200010000003918,data17,0,1,1,0,3918
1,1,2,0,SB_SPARE_3919,SPARE_3919,,0,,0,1,,0,1,,1,1,3919,SB_010200010000003919,data18,0,1,1,0,3919
1,1,2,0,SB_SPARE_3920,SPARE_3920,,0,,0,1,,0,1,,1,1,3920,SB_010200010000003920,data19,0,1,1,0,3920
1,1,2,0,SB_SPARE_3921,SPARE_3921,,0,,0,1,,0,1,,1,1,3921,SB_010200010000003921,data20,0,1,1,0,3921
1,1,2,0,SB_SPARE_3922,SPARE_3922,,0,,0,1,,0,1,,1,1,3922,SB_010200010000003922,data21,0,1,1,0,3922
1,1,2,0,SB_SPARE_3923,SPARE_3923,,0,,0,1,,0,1,,1,1,3923,SB_010200010000003923,data22,0,1,1,0,3923
1,1,2,0,SB_SPARE_3924,SPARE_3924,,0,,0,1,,0,1,,1,1,3924,SB_010200010000003924,data23,0,1,1,0,3924
1,1,2,0,SB_SPARE_3925,SPARE_3925,,0,,0,1,,0,1,,1,1,3925,SB_010200010000003925,data24,0,1,1,0,3925
1,1,2,0,SB_SPARE_3926,SPARE_3926,,0,,0,1,,0,1,,1,1,3926,SB_010200010000003926,data25,0,1,1,0,3926
1,1,2,0,SB_SPARE_3927,SPARE_3927,,0,,0,1,,0,1,,1,1,3927,SB_010200010000003927,data26,0,1,1,0,3927
1,1,2,0,SB_SPARE_3928,SPARE_3928,,0,,0,1,,0,1,,1,1,3928,SB_010200010000003928,data27,0,1,1,0,3928
1,1,2,0,SB_SPARE_3929,SPARE_3929,,0,,0,1,,0,1,,1,1,3929,SB_010200010000003929,data28,0,1,1,0,3929
1,1,2,0,SB_SPARE_3930,SPARE_3930,,0,,0,1,,0,1,,1,1,3930,SB_010200010000003930,data29,0,1,1,0,3930
1,1,2,0,SB_SPARE_3931,SPARE_3931,,0,,0,1,,0,1,,1,1,3931,SB_010200010000003931,data30,0,1,1,0,3931
1,1,2,0,SB_SPARE_3932,SPARE_3932,,0,,0,1,,0,1,,1,1,3932,SB_010200010000003932,data31,0,1,1,0,3932
1,1,2,0,SB_SPARE_3933,SPARE_3933,,0,,0,1,,0,1,,1,1,3933,SB_010200010000003933,data32,0,1,1,0,3933
1,1,2,0,SB_SPARE_3934,SPARE_3934,,0,,0,1,,0,1,,1,1,3934,SB_010200010000003934,data33,0,1,1,0,3934
1,1,2,0,SB_SPARE_3935,SPARE_3935,,0,,0,1,,0,1,,1,1,3935,SB_010200010000003935,data34,0,1,1,0,3935
1,1,2,0,SB_SPARE_3936,SPARE_3936,,0,,0,1,,0,1,,1,1,3936,SB_010200010000003936,data35,0,1,1,0,3936
1,1,2,0,SB_SPARE_3937,SPARE_3937,,0,,0,1,,0,1,,1,1,3937,SB_010200010000003937,data36,0,1,1,0,3937
1,1,2,0,SB_SPARE_3938,SPARE_3938,,0,,0,1,,0,1,,1,1,3938,SB_010200010000003938,data37,0,1,1,0,3938
1,1,2,0,SB_SPARE_3939,SPARE_3939,,0,,0,1,,0,1,,1,1,3939,SB_010200010000003939,data38,0,1,1,0,3939
1,1,2,0,SB_SPARE_3940,SPARE_3940,,0,,0,1,,0,1,,1,1,3940,SB_010200010000003940,data39,0,1,1,0,3940
1,1,2,0,SB_SPARE_3941,SPARE_3941,,0,,0,1,,0,1,,1,1,3941,SB_010200010000003941,data40,0,1,1,0,3941
1,1,2,0,SB_SPARE_3942,SPARE_3942,,0,,0,1,,0,1,,1,1,3942,SB_010200010000003942,data41,0,1,1,0,3942
1,1,2,0,SB_SPARE_3943,SPARE_3943,,0,,0,1,,0,1,,1,1,3943,SB_010200010000003943,data42,0,1,1,0,3943
