No,PID,ItemID,Description,Type,Unit,DP,disp_lower,disp_upper,dcsTagNo,valid,sufixx,org_TagNo(cut SB_/.PVor.OUT),-suffix,"follows are 0,_STATUS or SPARE_ or _SPARE or _STS or -SP-",raw&exist -OUT=0,not in ABJ=0.(vlookup ABJ_DCS_IO)
3389,SB_010200010000003389,SB_30BBT10GT200-CFS.OUT,6.0KV SWGR INCM CB CLS,BOOL,,,0,0,30BBT10GT200-CFS,1,.OUT,30BBT10GT200-CFS,-CFS,30BBT10GT200-CFS,-1,30BBT10GT200-CFS
3390,SB_010200010000003390,SB_30BBT10GT200XB23.OUT,6.0KV SWGR INCM CB E-FAIL,BOOL,,,0,0,30BBT10GT200XB23,1,.OUT,30BBT10GT200XB23,,30BBT10GT200XB23,-1,30BBT10GT200XB23
3391,SB_010200010000003391,SB_30BBT10GT200-ELF.OUT,6.0KV SWGR INCM CB E-FAIL,BOOL,,,0,0,30BBT10GT200-ELF,1,.OUT,30BBT10GT200-ELF,-ELF,30BBT10GT200-ELF,-1,30BBT10GT200-ELF
3392,SB_010200010000003392,SB_30BBT10GS602XB19.OUT,6.0KV SWGR INCM CB ES OPN,BOOL,,,0,0,30BBT10GS602XB19,0,.OUT,30BBT10GS602XB19,,30BBT10GS602XB19,0,30BBT10GS602XB19
3393,SB_010200010000003393,SB_30BBT10GS602XB19-OUT.OUT,6.0KV SWGR INCM CB ES OPN,BOOL,,,0,0,30BBT10GS602XB19-OUT,1,.OUT,30BBT10GS602XB19-OUT,-OUT,30BBT10GS602XB19-OUT,1,30BBT10GS602XB19-OUT
3394,SB_010200010000003394,SB_30BBT10GT200-OFS.OUT,6.0KV SWGR INCM CB OPN,BOOL,,,0,0,30BBT10GT200-OFS,1,.OUT,30BBT10GT200-OFS,-OFS,30BBT10GT200-OFS,-1,30BBT10GT200-OFS
3395,SB_010200010000003395,SB_30BBT10GT200-CPS.OUT,6.0KV SWGR INCM CB PMT,BOOL,,,0,0,30BBT10GT200-CPS,1,.OUT,30BBT10GT200-CPS,-CPS,30BBT10GT200-CPS,-1,30BBT10GT200-CPS
3396,SB_010200010000003396,SB_30BBT10GT200XB18.OUT,6.0KV SWGR INCM CB RMT AVAIL,BOOL,,,0,0,30BBT10GT200XB18,0,.OUT,30BBT10GT200XB18,,30BBT10GT200XB18,0,30BBT10GT200XB18
3397,SB_010200010000003397,SB_30BBT10GT200-ROS.OUT,6.0KV SWGR INCM CB RO,BOOL,,,0,0,30BBT10GT200-ROS,1,.OUT,30BBT10GT200-ROS,-ROS,30BBT10GT200-ROS,-1,30BBT10GT200-ROS
3398,SB_010200010000003398,SB_30BBT10GT200-CLE.OUT,6.0KV SWGR INCM CB RTE-CL,BOOL,,,0,0,30BBT10GT200-CLE,1,.OUT,30BBT10GT200-CLE,-CLE,30BBT10GT200-CLE,-1,30BBT10GT200-CLE
3399,SB_010200010000003399,SB_30BBT10GT200-OPE.OUT,6.0KV SWGR INCM CB RTE-OP,BOOL,,,0,0,30BBT10GT200-OPE,1,.OUT,30BBT10GT200-OPE,-OPE,30BBT10GT200-OPE,-1,30BBT10GT200-OPE
3400,SB_010200010000003400,SB_30BBT10GT200XB20.OUT,6.0KV SWGR INCM CB TST POS,BOOL,,,0,0,30BBT10GT200XB20,0,.OUT,30BBT10GT200XB20,,30BBT10GT200XB20,0,30BBT10GT200XB20
3401,SB_010200010000003401,SB_30BBT10GT200XB20-OUT.OUT,6.0KV SWGR INCM CB TST POS,BOOL,,,0,0,30BBT10GT200XB20-OUT,1,.OUT,30BBT10GT200XB20-OUT,-OUT,30BBT10GT200XB20-OUT,1,30BBT10GT200XB20-OUT
3402,SB_010200010000003402,SB_30BBT10CE002XQ09-CND.OUT,6.0KV SWGR INCM CUR V-PH ABN,BOOL,,,0,0,30BBT10CE002XQ09-CND,1,.OUT,30BBT10CE002XQ09-CND,-CND,30BBT10CE002XQ09-CND,-1,30BBT10CE002XQ09-CND
3403,SB_010200010000003403,SB_30BBT10CE001XQ20-CND.OUT,6.0KV SWGR INCM PWR ABN,BOOL,,,0,0,30BBT10CE001XQ20-CND,1,.OUT,30BBT10CE001XQ20-CND,-CND,30BBT10CE001XQ20-CND,-1,30BBT10CE001XQ20-CND
3404,SB_010200010000003404,SB_30BBT10CE003XQ14-CND.OUT,6.0KV SWGR INCM VLT U-V ABN,BOOL,,,0,0,30BBT10CE003XQ14-CND,1,.OUT,30BBT10CE003XQ14-CND,-CND,30BBT10CE003XQ14-CND,-1,30BBT10CE003XQ14-CND
3405,SB_010200010000003405,SB_30BGU10GT100-ABN.OUT,6.0KV SWGR OUTG CHP TR-A CB ABN,BOOL,,,0,0,30BGU10GT100-ABN,1,.OUT,30BGU10GT100-ABN,-ABN,30BGU10GT100-ABN,-1,30BGU10GT100-ABN
3406,SB_010200010000003406,SB_30BGU10GT100XB18.OUT,6.0KV SWGR OUTG CHP TR-A CB AVAIL,BOOL,,,0,0,30BGU10GT100XB18,0,.OUT,30BGU10GT100XB18,,30BGU10GT100XB18,0,30BGU10GT100XB18
3407,SB_010200010000003407,SB_30BGU10GT100XB18-OUT.OUT,6.0KV SWGR OUTG CHP TR-A CB AVAIL,BOOL,,,0,0,30BGU10GT100XB18-OUT,1,.OUT,30BGU10GT100XB18-OUT,-OUT,30BGU10GT100XB18-OUT,1,30BGU10GT100XB18-OUT
3408,SB_010200010000003408,SB_30BGU10GT100XB02.OUT,6.0KV SWGR OUTG CHP TR-A CB CLS,BOOL,,,0,0,30BGU10GT100XB02,1,.OUT,30BGU10GT100XB02,,30BGU10GT100XB02,-1,30BGU10GT100XB02
